"md5_email"|"year"|"week"|"day"|"V01"|"V02"|"V03"|"V04"|"V05"|"V06"|"V07"|"V08"|"V09"|"V10"|"V11"|"V12"|"V13"|"V14"|"V15"|"V16"|"V17"|"V18"|"V19"|"V20"|"V21"|"V22"|"V23"|"V24"|"V25"|"V26"|"V27"|"V28"|"V29"|"V30"|"V31"|"V32"|"V33"|"V34"|"V35"|"V36"|"V37"|"V38"|"V39"|"V40"|"V41"|"V42"|"V43"|"V44"|"V45"|"V46"|"V47"|"V48"|"V49"|"V50"|"V51"|"V52"|"V53"|"V54"|"V55"|"V56"|"V57"|"V58"|"V59"|"V60"
"129ac5fdd45d87da60267bbe5de49499"|2012|48|331|4.2|5|2.6|5|4.2|4.2|2.6|4.2|5|4.2|2.6|3.4|3.4|4.2|3.4|5|5|5|4.2|1.8|3.4|1|5|5|1.8|4.2|4.2|2.6|3.4|5|3.4|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|5|1.8|2.6|3.4|5|2.6|5|4.2|3.4|2.6|4.2|4.2|4.2|5
"4e24e95b8c6d631c4c0284963e367b81"|2012|47|330|4.2|4.2|1|4.2|5|2.6|5|3.4|5|4.2|2.6|4.2|4.2|5|4.2|4.2|5|4.2|4.2|1|3.4|4.2|4.2|2.6|1.8|3.4|5|3.4|1.8|3.4|4.2|3.4|3.4|4.2|2.6|4.2|4.2|5|4.2|4.2|3.4|5|3.4|4.2|4.2|5|5|3.4|3.4|4.2|4.2|5|5|5|1.8|5|4.2|4.2|4.2|4.2
"8012bac3c33985711456ccc76a331c64"|2012|47|330|3.4|4.2|1.8|4.2|4.2|3.4|4.2|2.6|4.2|4.2|3.4|3.4|5|4.2|4.2|4.2|4.2|3.4|4.2|1.8|4.2|3.4|4.2|3.4|2.6|4.2|4.2|4.2|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|5|4.2|3.4|4.2|4.2|3.4|5|5|4.2|4.2|4.2|4.2|4.2|5|2.6|3.4|4.2|4.2|4.2|3.4
"0dfaf57e20af210983b0fff71bf19e73"|2012|47|329|5|3.4|3.4|4.2|3.4|5|3.4|1.8|4.2|2.6|4.2|2.6|3.4|2.6|3.4|3.4|5|5|2.6|2.6|3.4|3.4|4.2|3.4|2.6|4.2|2.6|2.6|3.4|2.6|4.2|5|3.4|3.4|3.4|3.4|3.4|2.6|3.4|5|2.6|3.4|3.4|3.4|3.4|5|4.2|2.6|3.4|2.6|1.8|3.4|5|3.4|2.6|4.2|3.4|3.4|3.4|4.2
"f01bb1cbdc67660892d03a8af69bc9d4"|2012|47|329|1.8|2.6|2.6|4.2|3.4|1.8|2.6|2.6|3.4|2.6|3.4|1.8|3.4|1.8|3.4|2.6|3.4|2.6|1.8|3.4|2.6|2.6|2.6|4.2|2.6|4.2|3.4|3.4|3.4|3.4|2.6|3.4|3.4|3.4|3.4|4.2|2.6|4.2|3.4|2.6|2.6|4.2|3.4|3.4|3.4|3.4|3.4|2.6|2.6|2.6|3.4|4.2|4.2|3.4|2.6|1.8|3.4|3.4|3.4|3.4
"c6b33ba8b1f0f166861d78c8ff8077ca"|2012|47|325|3.4|5|1.8|3.4|5|4.2|3.4|1.8|4.2|4.2|4.2|2.6|2.6|2.6|3.4|4.2|5|5|3.4|3.4|3.4|1.8|4.2|2.6|3.4|4.2|3.4|1.8|3.4|4.2|4.2|3.4|2.6|4.2|3.4|4.2|3.4|2.6|4.2|4.2|5|5|4.2|4.2|5|4.2|2.6|2.6|5|3.4|4.2|5|4.2|3.4|3.4|2.6|4.2|3.4|3.4|2.6
"44abe7ec2dc77fdff5a6f023cadc3c34"|2012|47|325|2.6|3.4|3.4|3.4|3.4|3.4|4.2|3.4|3.4|3.4|3.4|2.6|4.2|2.6|3.4|3.4|3.4|3.4|4.2|2.6|2.6|4.2|4.2|4.2|1.8|4.2|4.2|4.2|4.2|4.2|3.4|1.8|3.4|2.6|4.2|4.2|3.4|4.2|3.4|3.4|3.4|4.2|3.4|2.6|4.2|3.4|2.6|4.2|3.4|2.6|4.2|3.4|3.4|2.6|3.4|2.6|3.4|4.2|4.2|1.8
"58f04f80970bbd52f3fed3462ab2f4e9"|2012|47|325|3.4|3.4|3.4|5|2.6|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|2.6|3.4|4.2|5|4.2|3.4|1.8|3.4|2.6|4.2|3.4|1.8|4.2|4.2|4.2|4.2|3.4|5|5|4.2|4.2|4.2|3.4|3.4|3.4|3.4|3.4|4.2|4.2|4.2|4.2|4.2|3.4|4.2|2.6|3.4|3.4|5|5|5|4.2|2.6|3.4|4.2|5|2.6|5
"5cd50ff04d072f7639804f70aa8ca88e"|2012|47|324|4.2|2.6|3.4|1.8|3.4|3.4|1.8|1.8|4.2|3.4|1.8|2.6|5|4.2|4.2|3.4|2.6|3.4|4.2|1.8|2.6|3.4|4.2|2.6|3.4|5|4.2|2.6|1.8|4.2|3.4|4.2|4.2|4.2|2.6|3.4|1.8|3.4|5|3.4|2.6|2.6|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|2.6|4.2|4.2|3.4|4.2|3.4|4.2|1.8|3.4|2.6
"ea2fad8ffad45ef894ffbefeca99135c"|2012|47|324|3.4|3.4|3.4|4.2|5|2.6|3.4|2.6|3.4|4.2|3.4|3.4|3.4|5|4.2|4.2|4.2|4.2|3.4|3.4|4.2|2.6|5|5|2.6|3.4|5|2.6|3.4|4.2|3.4|3.4|5|4.2|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|4.2|3.4|4.2|4.2|2.6|4.2|3.4|4.2|4.2|4.2|4.2|4.2|3.4|3.4|3.4|4.2|3.4|4.2
"9258e0360c45411ba5d9fda3de6d5c17"|2012|46|323|4.2|4.2|1.8|4.2|5|4.2|4.2|2.6|4.2|4.2|2.6|2.6|4.2|4.2|2.6|4.2|4.2|4.2|3.4|1.8|1.8|2.6|5|3.4|2.6|4.2|3.4|3.4|1.8|3.4|3.4|4.2|3.4|2.6|1|4.2|2.6|4.2|3.4|3.4|4.2|2.6|3.4|3.4|2.6|3.4|3.4|2.6|3.4|2.6|3.4|3.4|3.4|3.4|1.8|4.2|3.4|3.4|2.6|1.8
"705c56391f896b56fc7f88d8da37af7e"|2012|46|323|4.2|4.2|2.6|5|5|3.4|2.6|3.4|5|4.2|5|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|4.2|3.4|3.4|5|5|3.4|4.2|3.4|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|5|2.6|3.4|3.4|4.2|5|3.4|4.2|4.2|4.2|5|3.4|4.2|4.2|5|4.2|4.2|5|5|5|3.4|4.2|4.2|4.2|3.4
"1beeb081d1f10de17718439467478546"|2012|46|322|4.2|3.4|3.4|5|4.2|4.2|4.2|3.4|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|3.4|2.6|3.4|4.2|4.2|3.4|4.2|4.2|4.2|3.4|4.2|3.4|4.2|4.2|3.4|3.4|3.4|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|3.4|4.2|4.2|5|4.2|4.2|3.4|4.2|4.2|3.4|3.4
"c6b77e0c1a0b9e03c24445a90858b769"|2012|46|320|4.2|2.6|2.6|4.2|5|5|5|2.6|4.2|3.4|3.4|3.4|4.2|5|3.4|5|5|4.2|4.2|2.6|1|3.4|5|3.4|1.8|5|2.6|2.6|3.4|4.2|3.4|5|5|4.2|3.4|5|3.4|4.2|3.4|4.2|2.6|5|4.2|3.4|3.4|4.2|5|3.4|4.2|3.4|5|3.4|5|3.4|3.4|3.4|4.2|3.4|3.4|4.2
"2f121022185ba9d943b3eafdb25b7e1b"|2012|46|320|4.2|4.2|1|4.2|4.2|4.2|4.2|2.6|5|5|1.8|4.2|4.2|4.2|4.2|5|4.2|5|4.2|1.8|1.8|4.2|4.2|3.4|1.8|5|4.2|4.2|1.8|5|4.2|5|4.2|5|3.4|5|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|5|5|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|4.2|5|3.4
"778bfbee3dc6a8cdf7a5f0e6e9714497"|2012|46|320|4.2|3.4|1.8|4.2|3.4|3.4|3.4|2.6|3.4|3.4|3.4|2.6|3.4|5|2.6|3.4|4.2|4.2|3.4|2.6|3.4|2.6|4.2|2.6|1.8|2.6|5|1.8|2.6|3.4|4.2|4.2|3.4|4.2|2.6|3.4|4.2|4.2|3.4|4.2|5|3.4|4.2|3.4|3.4|3.4|3.4|2.6|4.2|4.2|4.2|4.2|3.4|3.4|2.6|4.2|4.2|3.4|4.2|4.2
"24b273b53ed553c0abdb01080f0254b4"|2012|46|320|2.6|5|2.6|2.6|5|5|3.4|1.8|5|4.2|4.2|3.4|4.2|4.2|3.4|4.2|5|4.2|4.2|4.2|4.2|2.6|5|4.2|3.4|5|4.2|2.6|3.4|4.2|3.4|2.6|5|5|5|4.2|3.4|4.2|3.4|4.2|2.6|4.2|4.2|3.4|4.2|4.2|3.4|3.4|4.2|3.4|4.2|4.2|4.2|5|4.2|2.6|5|4.2|2.6|2.6
"715b82547d047a8cdb7be83a0cd5a5f0"|2012|46|320|3.4|4.2|2.6|5|4.2|2.6|5|4.2|4.2|3.4|2.6|3.4|3.4|4.2|4.2|4.2|3.4|3.4|3.4|3.4|3.4|5|4.2|4.2|1.8|5|4.2|4.2|5|3.4|5|3.4|5|4.2|4.2|5|5|5|5|5|5|3.4|3.4|5|3.4|3.4|4.2|4.2|4.2|5|4.2|5|5|5|2.6|4.2|5|3.4|5|4.2
"d9706966e98bf826b756b73a011d6332"|2012|43|297|4.2|3.4|1.8|4.2|5|4.2|4.2|4.2|4.2|5|2.6|4.2|5|4.2|5|5|5|5|4.2|2.6|3.4|5|4.2|3.4|1.8|4.2|4.2|4.2|2.6|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|5|4.2|5|4.2|5|4.2|4.2|4.2|4.2|5|3.4|4.2|4.2|4.2|4.2|4.2|4.2|2.6|5|4.2|4.2|4.2|4.2
"4e9812bc46595faf7be84dd6588450c5"|2012|43|297|3.4|3.4|4.2|5|3.4|3.4|4.2|3.4|4.2|4.2|5|3.4|4.2|3.4|5|4.2|4.2|5|4.2|3.4|4.2|4.2|3.4|4.2|3.4|4.2|3.4|2.6|3.4|3.4|4.2|4.2|1.8|4.2|4.2|4.2|4.2|4.2|2.6|4.2|4.2|4.2|4.2|4.2|3.4|1.8|3.4|2.6|4.2|4.2|3.4|5|3.4|5|2.6|3.4|4.2|3.4|4.2|3.4
"319fb8a53a9a22d120d8f3b4104c9203"|2012|40|276|5|5|1|5|5|4.2|5|1|5|5|5|5|5|5|5|5|5|5|4.2|1.8|5|5|5|4.2|5|5|5|5|5|5|5|5|5|5|2.6|5|5|5|4.2|5|5|5|5|5|5|5|3.4|2.6|5|5|5|5|5|5|3.4|5|5|5|5|5
"597c8bc7c8feb14ef1d229329d53ad09"|2012|39|270|3.4|3.4|1.8|5|5|4.2|4.2|3.4|4.2|4.2|3.4|3.4|1.8|5|4.2|5|5|5|3.4|1.8|4.2|5|5|5|2.6|5|5|5|1.8|5|4.2|5|5|4.2|4.2|5|2.6|4.2|4.2|4.2|4.2|5|3.4|5|4.2|5|4.2|4.2|3.4|4.2|4.2|4.2|5|4.2|3.4|5|5|5|3.4|4.2
"479273d4e2b4ec0cf41c1efc10c74122"|2012|34|233|4.2|2.6|1.8|5|4.2|2.6|5|4.2|5|5|2.6|3.4|5|4.2|4.2|5|4.2|3.4|5|1.8|3.4|5|5|3.4|2.6|5|5|4.2|2.6|5|5|5|5|5|3.4|4.2|3.4|5|5|4.2|5|4.2|4.2|5|5|4.2|5|4.2|5|4.2|5|5|4.2|5|4.2|4.2|5|5|5|2.6
"10ef12dc125ed5af23d3b24c0c15fdf3"|2012|33|231|5|5|1|4.2|4.2|3.4|3.4|2.6|5|4.2|3.4|4.2|4.2|5|4.2|4.2|4.2|3.4|4.2|2.6|4.2|4.2|5|3.4|2.6|5|4.2|3.4|2.6|4.2|5|4.2|5|5|4.2|5|3.4|5|4.2|4.2|4.2|5|3.4|5|4.2|4.2|5|3.4|4.2|3.4|4.2|4.2|5|4.2|4.2|4.2|4.2|4.2|5|3.4
"1f4573691e9e35b8101e315445834a6d"|2012|32|220|2.6|3.4|1|5|3.4|4.2|3.4|4.2|5|5|1|3.4|3.4|5|4.2|5|5|5|5|1|2.6|2.6|5|1|1|3.4|5|1.8|1.8|2.6|5|5|4.2|5|1|2.6|3.4|5|2.6|5|5|2.6|3.4|4.2|5|3.4|5|5|4.2|5|3.4|5|5|5|1.8|5|5|5|3.4|4.2
"eaf3c8b47677d1334096983e1f4dd83d"|2012|26|181|3.4|5|1|3.4|4.2|4.2|2.6|3.4|5|4.2|1.8|4.2|4.2|5|5|5|5|5|4.2|1.8|4.2|2.6|4.2|3.4|1.8|4.2|4.2|4.2|3.4|4.2|4.2|2.6|4.2|3.4|4.2|4.2|3.4|4.2|3.4|4.2|4.2|3.4|3.4|3.4|4.2|4.2|4.2|4.2|3.4|4.2|3.4|3.4|4.2|3.4|4.2|4.2|4.2|5|4.2|3.4
"757621da9f514832fa23f815ece85207"|2012|22|151|2.6|3.4|2.6|1.8|4.2|3.4|3.4|2.6|3.4|2.6|2.6|3.4|4.2|4.2|3.4|3.4|4.2|5|2.6|1.8|2.6|4.2|4.2|2.6|1.8|4.2|2.6|3.4|3.4|3.4|2.6|3.4|4.2|5|3.4|3.4|1.8|1.8|3.4|2.6|5|3.4|2.6|4.2|2.6|1.8|5|1.8|2.6|3.4|4.2|2.6|5|3.4|2.6|4.2|3.4|3.4|2.6|2.6
"d574a9967ef7ef08d49fc187b626bc7c"|2012|20|137|4.2|3.4|1.8|4.2|5|3.4|4.2|4.2|5|4.2|1.8|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|1|4.2|4.2|4.2|4.2|1.8|4.2|4.2|4.2|1.8|3.4|3.4|2.6|2.6|3.4|2.6|3.4|2.6|2.6|3.4|3.4|3.4|3.4|2.6|2.6|3.4|2.6|3.4|2.6|3.4|2.6|3.4|3.4|3.4|3.4|2.6|3.4|3.4|3.4|3.4|2.6
"d41d8cd98f00b204e9800998ecf8427e"|2012|17|117|4.2|5|1.8|4.2|5|5|4.2|4.2|4.2|4.2|1.8|4.2|3.4|5|4.2|5|5|4.2|4.2|1|3.4|4.2|5|3.4|1|5|5|4.2|3.4|4.2|5|5|5|5|3.4|5|3.4|5|4.2|4.2|4.2|5|4.2|4.2|5|5|5|4.2|4.2|4.2|5|4.2|5|5|3.4|4.2|5|5|5|4.2
"eba037c7e8147dd91cd9660d56290ee9"|2012|16|107|3.4|3.4|1.8|4.2|4.2|4.2|4.2|4.2|5|4.2|1.8|3.4|4.2|4.2|5|5|5|5|4.2|1|1.8|5|5|4.2|1|5|4.2|4.2|1|3.4|4.2|4.2|4.2|4.2|4.2|5|1.8|4.2|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|3.4|5|5|4.2|5|3.4|5|4.2|5|3.4|4.2
"84381fef107e9e2b89209c8c6fc41a8f"|2012|15|103|2.6|3.4|1.8|4.2|4.2|2.6|4.2|3.4|4.2|4.2|2.6|2.6|4.2|4.2|4.2|4.2|4.2|4.2|4.2|1.8|4.2|2.6|5|3.4|1|4.2|4.2|3.4|1.8|3.4|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|2.6|4.2|4.2|2.6|2.6|3.4|3.4|2.6|4.2|4.2|2.6|4.2|1.8|4.2|4.2|4.2
"a65031507fbd0dea70c8ed3eaa51d56f"|2012|10|66|2.6|4.2|2.6|3.4|4.2|5|2.6|2.6|4.2|2.6|1.8|3.4|4.2|3.4|3.4|4.2|4.2|4.2|4.2|1|2.6|3.4|5|4.2|1|4.2|3.4|3.4|1.8|3.4|3.4|3.4|4.2|3.4|4.2|4.2|2.6|4.2|3.4|2.6|4.2|3.4|3.4|3.4|4.2|4.2|3.4|3.4|4.2|1.8|2.6|3.4|3.4|3.4|3.4|4.2|2.6|4.2|3.4|3.4
"637cdcedee2c225739c1a5b64d5112e1"|2012|2|9|5|5|1|4.2|4.2|2.6|4.2|2.6|4.2|4.2|4.2|4.2|4.2|5|4.2|5|4.2|2.6|4.2|2.6|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|4.2|4.2|5|4.2|5|5|4.2|5|5|5|4.2|5|5|5|5|5|5|5|3.4|5|5|4.2|4.2|5|5|5|2.6|4.2|5|4.2|5|3.4
"4902bf156d987d26d8fad35aef9dbe00"|2011|52|365|2.6|1.8|4.2|4.2|3.4|3.4|4.2|3.4|3.4|2.6|2.6|3.4|2.6|3.4|2.6|3.4|3.4|3.4|2.6|2.6|2.6|3.4|2.6|2.6|2.6|4.2|2.6|4.2|2.6|3.4|3.4|4.2|4.2|2.6|2.6|3.4|3.4|3.4|4.2|2.6|1.8|2.6|3.4|4.2|3.4|3.4|4.2|3.4|3.4|4.2|3.4|2.6|3.4|3.4|3.4|3.4|3.4|2.6|2.6|4.2
"24095dee6cf72fa11fdc8a568dea6454"|2011|52|364|4.2|4.2|1.8|1.8|2.6|2.6|3.4|1.8|3.4|4.2|4.2|2.6|4.2|3.4|2.6|4.2|2.6|4.2|4.2|4.2|4.2|3.4|2.6|1.8|3.4|3.4|3.4|3.4|4.2|2.6|4.2|3.4|1.8|2.6|1.8|4.2|1.8|4.2|4.2|2.6|4.2|3.4|3.4|3.4|3.4|2.6|2.6|3.4|4.2|2.6|3.4|2.6|3.4|4.2|1.8|2.6|3.4|3.4|3.4|2.6
"e63c40eb7bb972802226faef1addb56a"|2011|52|364|4.2|4.2|1|2.6|4.2|4.2|3.4|4.2|4.2|4.2|2.6|2.6|4.2|5|5|5|4.2|2.6|3.4|4.2|4.2|2.6|5|5|3.4|4.2|4.2|3.4|3.4|4.2|2.6|2.6|4.2|4.2|2.6|4.2|5|5|4.2|4.2|5|3.4|1.8|3.4|4.2|5|3.4|2.6|2.6|5|4.2|5|4.2|4.2|4.2|3.4|4.2|2.6|1.8|2.6
"9e4469ecc2f4cb8ef40527fbe7c06fad"|2011|52|364|3.4|4.2|1.8|3.4|4.2|4.2|1.8|3.4|5|3.4|1.8|1.8|3.4|4.2|3.4|5|4.2|3.4|1.8|3.4|1.8|3.4|4.2|4.2|1.8|4.2|5|2.6|1.8|4.2|3.4|1.8|3.4|1.8|4.2|4.2|1.8|3.4|4.2|4.2|3.4|3.4|3.4|2.6|4.2|4.2|2.6|3.4|2.6|3.4|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|3.4|3.4
"4ee5096244e139d1d87eeaa0bef29d71"|2011|51|357|3.4|4.2|1.8|5|3.4|4.2|5|3.4|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|1.8|3.4|4.2|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|4.2|4.2|3.4|4.2|5|4.2|4.2|5|3.4|4.2|4.2|2.6|4.2|2.6|4.2|4.2|3.4|4.2|2.6|3.4|3.4|3.4|4.2|2.6
"d4352a3cb9a7b20a3747df11ef72bf7e"|2011|47|325|3.4|4.2|1|4.2|5|3.4|4.2|3.4|4.2|4.2|1.8|2.6|3.4|4.2|3.4|4.2|4.2|4.2|4.2|1.8|1|3.4|3.4|5|1|4.2|3.4|5|2.6|4.2|1.8|3.4|5|3.4|2.6|4.2|1.8|5|3.4|4.2|2.6|3.4|3.4|4.2|4.2|4.2|4.2|3.4|3.4|2.6|3.4|4.2|5|4.2|3.4|3.4|3.4|4.2|2.6|3.4
"46f4fa3d55acdd8cf0e75fe21b654122"|2011|45|317|4.2|4.2|2.6|4.2|3.4|4.2|4.2|2.6|4.2|4.2|3.4|2.6|5|4.2|4.2|4.2|4.2|3.4|4.2|2.6|2.6|4.2|4.2|4.2|1|4.2|4.2|3.4|3.4|3.4|4.2|5|4.2|5|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|3.4|4.2|3.4|1.8|5|5|4.2|4.2|5|4.2|1|4.2|4.2|4.2|4.2|3.4
"55bf7a2878b3792be2cfb2b587eef898"|2011|45|317|3.4|4.2|2.6|3.4|4.2|4.2|2.6|4.2|4.2|3.4|3.4|1.8|2.6|3.4|2.6|5|5|3.4|1.8|1.8|1.8|3.4|5|3.4|1|3.4|4.2|3.4|2.6|2.6|2.6|4.2|4.2|2.6|3.4|4.2|1|2.6|4.2|3.4|2.6|1.8|2.6|3.4|4.2|5|5|4.2|2.6|2.6|2.6|3.4|5|4.2|4.2|5|3.4|4.2|2.6|5
"6c2638cd6246654f1b42e1919b946816"|2011|45|317|1|1|1.8|5|2.6|1.8|5|2.6|2.6|3.4|5|2.6|2.6|1|4.2|4.2|4.2|3.4|1.8|4.2|2.6|5|2.6|1.8|4.2|1|3.4|1|4.2|2.6|5|4.2|3.4|2.6|5|2.6|1|4.2|1|1|2.6|3.4|4.2|4.2|4.2|5|2.6|1.8|1|1|1.8|5|5|2.6|5|4.2|3.4|5|4.2|5
"6333b62874a5a698e9926f1527e968a2"|2011|45|317|3.4|3.4|1.8|4.2|5|5|3.4|2.6|5|5|3.4|4.2|3.4|4.2|4.2|5|5|4.2|2.6|3.4|3.4|4.2|5|4.2|1.8|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|2.6|4.2|5|4.2|5|4.2|3.4|3.4|5|5|5|3.4|3.4|3.4|4.2|4.2|5|4.2|4.2|5|4.2|5|4.2|5
"686f006bc3bf9685c354ed3cafad6f37"|2011|45|317|3.4|1.8|1|1.8|4.2|3.4|1.8|2.6|4.2|2.6|2.6|3.4|1.8|5|4.2|2.6|2.6|3.4|1.8|1.8|1.8|1.8|4.2|2.6|1.8|1.8|3.4|2.6|1.8|4.2|1.8|1.8|3.4|1.8|3.4|3.4|1.8|1.8|1.8|3.4|2.6|3.4|3.4|1.8|3.4|4.2|4.2|3.4|1.8|3.4|3.4|2.6|4.2|3.4|2.6|3.4|4.2|3.4|1.8|3.4
"e5d37e412df02521f076d2747297f2a4"|2011|43|301|4.2|5|1|5|5|5|2.6|2.6|5|5|1|2.6|5|5|2.6|5|5|5|5|1|2.6|5|4.2|5|1|5|3.4|5|1.8|4.2|1|5|5|5|5|5|1|5|5|5|2.6|3.4|5|5|2.6|5|5|5|5|1|5|2.6|5|5|5|5|4.2|5|3.4|5
"537724b713d09c3f9e9ca017849d6398"|2011|43|301|3.4|5|1.8|4.2|3.4|2.6|3.4|2.6|4.2|5|4.2|4.2|4.2|5|3.4|4.2|5|4.2|3.4|3.4|4.2|4.2|3.4|2.6|2.6|4.2|4.2|2.6|3.4|4.2|4.2|3.4|4.2|5|1.8|4.2|4.2|4.2|3.4|4.2|5|4.2|3.4|3.4|4.2|2.6|3.4|3.4|4.2|4.2|4.2|4.2|3.4|3.4|1.8|3.4|4.2|3.4|4.2|2.6
"1efbfc964e5575980febc6c6638b395d"|2011|43|300|3.4|3.4|1.8|5|5|5|4.2|4.2|5|5|1.8|3.4|5|5|5|5|5|4.2|5|1.8|2.6|5|5|5|1.8|5|4.2|5|3.4|5|4.2|4.2|5|4.2|3.4|5|3.4|5|5|4.2|3.4|5|5|5|5|5|5|4.2|4.2|5|3.4|5|5|5|5|4.2|4.2|4.2|4.2|5
"15fda54a17d650eb795123de38ac8b28"|2011|42|296|4.2|3.4|1.8|5|4.2|2.6|5|5|5|1.8|5|3.4|4.2|3.4|4.2|3.4|3.4|4.2|3.4|2.6|2.6|5|3.4|5|2.6|3.4|4.2|4.2|2.6|4.2|5|5|5|2.6|5|4.2|4.2|4.2|4.2|5|2.6|4.2|4.2|5|3.4|5|4.2|3.4|3.4|3.4|4.2|5|3.4|5|1.8|3.4|3.4|2.6|4.2|3.4
"dce1647a91737d9719f068b9f02a5d9a"|2011|42|291|3.4|5|3.4|4.2|4.2|4.2|4.2|3.4|4.2|4.2|2.6|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|1.8|2.6|4.2|5|3.4|2.6|4.2|3.4|3.4|2.6|3.4|5|3.4|5|4.2|3.4|4.2|2.6|4.2|5|4.2|3.4|4.2|3.4|4.2|4.2|5|4.2|4.2|4.2|3.4|5|4.2|5|4.2|4.2|5|4.2|5|4.2|3.4
"6dd1e6d14605609d58a8ef8c778b0b03"|2011|42|290|4.2|4.2|2.6|5|4.2|5|4.2|3.4|5|4.2|1.8|4.2|2.6|4.2|4.2|4.2|4.2|4.2|3.4|1.8|1.8|4.2|5|3.4|1.8|4.2|3.4|4.2|3.4|3.4|5|4.2|4.2|3.4|4.2|4.2|3.4|4.2|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|4.2|3.4|3.4|2.6|4.2|5|5|4.2|3.4|4.2|3.4|4.2|3.4|4.2
"6a3be637c35c6a287b4657f7304a97f4"|2011|41|286|3.4|1.8|3.4|4.2|5|5|3.4|2.6|5|4.2|3.4|3.4|4.2|1.8|4.2|4.2|5|5|5|1.8|3.4|4.2|5|1.8|1|5|3.4|4.2|1|4.2|4.2|3.4|5|3.4|4.2|4.2|2.6|4.2|3.4|5|3.4|3.4|5|5|4.2|5|4.2|3.4|4.2|2.6|2.6|4.2|5|3.4|1|4.2|3.4|5|4.2|5
"f666ad15f732b42cd651a86afc9dd0b0"|2011|41|285|3.4|3.4|2.6|3.4|3.4|3.4|3.4|3.4|4.2|4.2|2.6|1.8|1.8|4.2|4.2|4.2|4.2|3.4|3.4|1.8|3.4|1.8|4.2|3.4|1.8|4.2|3.4|3.4|4.2|4.2|2.6|1.8|5|5|3.4|4.2|2.6|4.2|3.4|4.2|3.4|5|5|3.4|4.2|4.2|4.2|1.8|2.6|4.2|3.4|5|5|4.2|2.6|3.4|4.2|4.2|3.4|3.4
"88f056edd432f607822570ef955f5745"|2011|40|278|2.6|3.4|3.4|2.6|4.2|4.2|2.6|4.2|4.2|2.6|1|1.8|2.6|1.8|3.4|4.2|4.2|4.2|1|1.8|1.8|1.8|4.2|4.2|1|4.2|4.2|4.2|1|4.2|1.8|2.6|4.2|2.6|3.4|2.6|1.8|1.8|2.6|2.6|1.8|1.8|2.6|1.8|3.4|2.6|4.2|3.4|1.8|2.6|1.8|1.8|4.2|2.6|3.4|3.4|3.4|2.6|1.8|3.4
"b004909e3355f501123174e08bd3b2ea"|2011|35|246|3.4|5|2.6|3.4|5|5|3.4|4.2|5|4.2|2.6|5|5|3.4|5|5|5|5|4.2|1.8|4.2|5|5|1.8|1.8|4.2|3.4|2.6|1.8|5|3.4|5|5|5|3.4|3.4|4.2|3.4|5|5|2.6|4.2|3.4|2.6|3.4|5|4.2|5|3.4|1.8|4.2|3.4|5|4.2|2.6|3.4|2.6|5|2.6|4.2
"074ee0f10eafe8e3d9bdf7e50ae989a0"|2011|35|243|3.4|4.2|1.8|2.6|4.2|3.4|3.4|3.4|4.2|4.2|2.6|2.6|4.2|4.2|3.4|4.2|4.2|4.2|3.4|2.6|2.6|3.4|3.4|3.4|2.6|4.2|3.4|3.4|2.6|3.4|3.4|2.6|4.2|2.6|1.8|3.4|3.4|3.4|4.2|2.6|3.4|3.4|2.6|2.6|2.6|2.6|4.2|2.6|3.4|3.4|3.4|4.2|3.4|4.2|3.4|4.2|2.6|3.4|3.4|3.4
